period,candidate,L2,share_smooth,period_start,period_end
2023-01-09/2023-01-15,柯文哲,L2-01,0.3333333333333333,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L2-02,0.07407407407407407,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L2-03,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L2-04,0.1111111111111111,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L2-05,0.2222222222222222,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L2-06,0.18518518518518517,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L2-07,0.4444444444444444,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L2-08,0.07407407407407407,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-01,0.05,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-02,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-03,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-04,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-05,0.15,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-06,0.1,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-07,0.05,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-08,0.05,2023-01-09,2023-01-09/2023-01-15
2023-01-16/2023-01-22,侯友宜,L2-01,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L2-02,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L2-03,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L2-04,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L2-05,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L2-06,0.4083333333333334,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L2-07,0.10277777777777779,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L2-08,0.0,2023-01-16,2023-01-16/2023-01-22
