period,candidate,L1,share_smooth,period_start,period_end
2023-01-23/2023-01-29,赖清德,L1-04,0.08877075305646734,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-05,0.0,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-06,0.27158080015222874,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-07,0.10858903001760145,2023-01-23,2023-01-23/2023-01-29
2023-01-30/2023-02-05,侯友宜,L1-01,0.0,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-02,0.0,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-03,0.02040816326530612,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-04,0.0,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-05,0.0,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-06,0.18367346938775508,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-07,0.0,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-01,0.013605442176870748,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-02,0.02818270165208941,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-03,0.044314868804664724,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-04,0.13430515063168125,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-05,0.0058309037900874635,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-06,0.3945578231292517,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-07,0.052672497570456764,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-01,0.04237123420796891,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-02,0.02478134110787172,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-03,0.21372505045974435,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-04,0.0628392016147118,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-05,0.0,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-06,0.32226956716752636,2023-01-30,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-07,0.10952380952380954,2023-01-30,2023-01-30/2023-02-05
2023-02-06/2023-02-12,侯友宜,L1-01,0.0,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-02,0.0,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-03,0.0,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-04,0.14285714285714285,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-05,0.0,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-06,0.04081632653061224,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-07,0.16326530612244897,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-01,0.0,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-02,0.04625850340136055,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-03,0.11632653061224489,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-04,0.08231292517006802,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-05,0.0,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-06,0.37551020408163266,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-07,0.09387755102040816,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-01,0.12183047886592462,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-02,0.04494655004859086,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-03,0.36677840598356176,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-04,0.07840263925118919,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-05,0.010741138560687433,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-06,0.1943075900111346,2023-02-06,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-07,0.06054421768707484,2023-02-06,2023-02-06/2023-02-12
2023-02-13/2023-02-19,侯友宜,L1-01,0.04081632653061224,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-02,0.061224489795918366,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-03,0.0,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-04,0.0,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-05,0.0,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-06,0.0,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-07,0.12244897959183673,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-01,0.011661807580174927,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-02,0.03809523809523809,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-03,0.18243035309361838,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-04,0.047619047619047616,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-05,0.0,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-06,0.20616294136702298,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-07,0.20790816326530612,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-01,0.2061830400176265,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-02,0.033163265306122444,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-03,0.179336390426616,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-04,0.11031149301825993,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-05,0.004296455424274973,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-06,0.40344404968465114,2023-02-13,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-07,0.04285714285714286,2023-02-13,2023-02-13/2023-02-19
2023-02-20/2023-02-26,侯友宜,L1-01,0.1020408163265306,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-02,0.08163265306122448,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-03,0.0,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-04,0.0,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-05,0.0,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-06,0.0,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-07,0.061224489795918366,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-01,0.008746355685131196,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-02,0.0,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-03,0.20357952704891477,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-04,0.04112001943634597,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-05,0.008588435374149661,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-06,0.22779802397149337,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-07,0.18363702623906705,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-01,0.060103490017560914,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-02,0.03206997084548105,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-03,0.19742383168806368,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-04,0.052154195011337875,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-05,0.012889366272824918,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-06,0.3736083405793395,2023-02-20,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-07,0.0472610096670247,2023-02-20,2023-02-20/2023-02-26
2023-02-27/2023-03-05,侯友宜,L1-01,0.0,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-02,0.0,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-03,0.017857142857142856,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-04,0.08163265306122448,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-05,0.0,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-06,0.19132653061224492,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-07,0.2602040816326531,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-01,0.03265306122448979,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-02,0.0,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-03,0.24655299349176896,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-04,0.06564404982772329,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-05,0.03316326530612245,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-06,0.2890574844656477,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-07,0.1288475130311865,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-01,0.10131932472237015,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-02,0.04734284691320138,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-03,0.11735822148408236,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-04,0.05074029611844738,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-05,0.06036519871106338,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-06,0.34854543321087833,2023-02-27,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-07,0.09065520945220194,2023-02-27,2023-02-27/2023-03-05
2023-03-06/2023-03-12,侯友宜,L1-01,0.0,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,侯友宜,L1-02,0.00510204081632653,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,侯友宜,L1-03,0.00510204081632653,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,侯友宜,L1-04,0.061224489795918366,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,侯友宜,L1-05,0.0,2023-03-06,2023-03-06/2023-03-12
