doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,final_status,_source_file,_corpus_tier
_e5e035673193,_e5e035673193_u004,"我主張降低兩岸惡意螺旋,增加交流對話,優先處理民生議題,同時,我們也必須務實規畫國軍訓練,打造專業能戰的軍隊,我們的立場堅定但也保有彈性,這才是確保和平的途徑。",claim,"金馬的發展需要中央政府大力支援,台澎金馬俱為一體,才能促進團結。","過去金馬在前線護衛台灣,現在台灣要協助金馬發展。",[],"[""兩岸|cross-strait""]",False,,c5f64def55f00ab906f4acd2e7a94495,False,02_Ke_X_datasets,2023-08-23 18:37:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_e5e035673193,_e5e035673193_u005,"過去金馬在前線護衛台灣,現在台灣要協助金馬發展。",context,"我主張降低兩岸惡意螺旋,增加交流對話,優先處理民生議題,同時,我們也必須務實規畫國軍訓練,打造專業能戰的軍隊,我們的立場堅定但也保有彈性,這才是確保和平的途徑。","人民團結、台灣自主,經濟發展,兩岸和平!",[],[],False,,77dfdd4309a32b0b5a31fbda5ee5936b,False,02_Ke_X_datasets,2023-08-23 18:37:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_e5e035673193,_e5e035673193_u006,"人民團結、台灣自主,經濟發展,兩岸和平!",context,"過去金馬在前線護衛台灣,現在台灣要協助金馬發展。",,[],"[""兩岸|cross-strait""]",False,,ddfaccd739020b11d5948c2636e3144e,False,02_Ke_X_datasets,2023-08-23 18:37:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_c42284ef471b,_c42284ef471b_u000,"This week, I had the pleasure of meeting with the @osaka_ishin delegation led by @baba_ishin. Along with TPP legislators, I thoroughly enjoyed a fruitful exchange on shared democratic values as well as regional security and stability.",context,,,[],[],False,,8d3454037a9184ac9258c2a1ca5e4325,False,02_Ke_X_datasets,2023-08-04 22:07:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_04897dccdd78,_04897dccdd78_u002,"我擔任市長期間,在台北和大橋會長見過三次面,這次在東京相見,以總統參選人的身份,聊的議題更擴及國政、區域安全等層面。",context,,"我提到李前總統曾告訴我,台灣的國際關係要把日本當做參考點,再做微調,大概就可以了。",[],[],False,,b25c2bff9a61e3172e752bb4796a2088,False,02_Ke_X_datasets,2023-06-06 10:52:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_04897dccdd78,_04897dccdd78_u003,"我提到李前總統曾告訴我,台灣的國際關係要把日本當做參考點,再做微調,大概就可以了。",claim,"我擔任市長期間,在台北和大橋會長見過三次面,這次在東京相見,以總統參選人的身份,聊的議題更擴及國政、區域安全等層面。","如果我們要說服美國一定要先說服日本,",[],[],False,,2d5438b9c99c926e3013f0b41a2fb3ee,False,02_Ke_X_datasets,2023-06-06 10:52:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_04897dccdd78,_04897dccdd78_u005,"如果我們要說服美國一定要先說服日本,",claim,"我提到李前總統曾告訴我,台灣的國際關係要把日本當做參考點,再做微調,大概就可以了。","大橋會長在交流中,也引用李前總統的話:「如果世界上的所有國家將日台關係作為榜樣,世界將會和平。」 會後,大橋會長送了我一個特別的禮物,他知道我喜歡騎單車,所以送了一個日製的自行車前車燈,除了實用之外,我想在未來前方的路上,日本或許也能提供台灣一些指引。",[],[],False,,ebd4aa36da060f3ee4890bd808771964,False,02_Ke_X_datasets,2023-06-06 10:52:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_04897dccdd78,_04897dccdd78_u008,"大橋會長在交流中,也引用李前總統的話:「如果世界上的所有國家將日台關係作為榜樣,世界將會和平。」 會後,大橋會長送了我一個特別的禮物,他知道我喜歡騎單車,所以送了一個日製的自行車前車燈,除了實用之外,我想在未來前方的路上,日本或許也能提供台灣一些指引。",context,"如果我們要說服美國一定要先說服日本,",,[],[],False,,b961b0193bd745423a4df2293616ce1d,False,02_Ke_X_datasets,2023-06-06 10:52:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_09c20a84ae1b,_09c20a84ae1b_u003,"我認為國定假日訂定辦法應盡量統一,由內政部整體檢討,不要淪於大撒幣,在目前已經一例一休的態樣下,如何兼顧國定假日的意義與衡平性、對經濟與企業的影響都要納入考量。",claim,,"撇開  放假與否,更重要的  ,恐怕是全體勞工心中的痛,台灣在2021年平均年總工時已經是全球第四高,  、  、  直接影響了年輕世代生育意願,形成迫切國安危機;",[],[],False,,ad664428c95a7daf878411824d4093e6,False,02_Ke_X_datasets,2023-05-01 15:43:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_09c20a84ae1b,_09c20a84ae1b_u004,"撇開  放假與否,更重要的  ,恐怕是全體勞工心中的痛,台灣在2021年平均年總工時已經是全球第四高,  、  、  直接影響了年輕世代生育意願,形成迫切國安危機;",context,"我認為國定假日訂定辦法應盡量統一,由內政部整體檢討,不要淪於大撒幣,在目前已經一例一休的態樣下,如何兼顧國定假日的意義與衡平性、對經濟與企業的影響都要納入考量。",,[],[],False,,864eb2a470acc38c762296babd6d3fd3,False,02_Ke_X_datasets,2023-05-01 15:43:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_82e32ec8fdc7,_82e32ec8fdc7_u002,"我們遠道而來,背負著台灣民眾黨的目標和民眾的期望,每分每秒都不能浪費!",context,,,"[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,24ff1ca781feabb7ee79fdb64fc54b3c,False,02_Ke_X_datasets,2023-04-09 11:42:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_2759a61d4cd8,_2759a61d4cd8_u000,"台灣與美國同樣信仰民主自由,享有相同的價值,台灣保有自己的主體性,也期待創造更多的機會與空間。",context,,"民眾黨不求戰、備戰、能戰、達到不畏戰,終極目標是尋求亞太穩定,締造區域和平。",[],[],False,,a6d3b26fd8f1cd057a573993025d1494,False,02_Ke_X_datasets,2023-04-05 15:01:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_2759a61d4cd8,_2759a61d4cd8_u001,"民眾黨不求戰、備戰、能戰、達到不畏戰,終極目標是尋求亞太穩定,締造區域和平。",context,"台灣與美國同樣信仰民主自由,享有相同的價值,台灣保有自己的主體性,也期待創造更多的機會與空間。",,"[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,ddbc7b0233d999cefd3f8d76a193c6ca,False,02_Ke_X_datasets,2023-04-05 15:01:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_fa99657c7620,_fa99657c7620_u000,"06:00 a.m, I departure from  in  by bicycle, get to  within 21.5 hours is my goal, it's 367 km away. The biggest challenge today is the non-stop strong gales, now I am ready to go to next stop ""Changhua Shengang Baotian Temple"".",quote,,,[],[],False,,387310d855fc2c9c986c8f835b31d8cc,False,02_Ke_X_datasets,2023-02-25 16:01:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
_8c773b448b1b,_8c773b448b1b_u000,It was great welcoming CDP's delegation for their first visit to TPP yesterday. We shared ideas from lowering the voting age referendum and digital governance to Taiwan's bid for CPTPP membership. Here's to growing our cooperation for years to come.,quote,,,[],[],False,,b2b4cd71a39354b01e6ba20025b9d0b9,False,02_Ke_X_datasets,2023-01-17 09:07:00,,03_X_datasets/02_Ke_X_datasets_units.csv,2
