src,L1,camp,pair,n_win,n_ab
GPT,L1-01,KMT,06-08,247,16
GPT,L1-01,KMT,07-08,247,17
GPT,L1-01,TPP,04-06,433,8
GPT,L1-01,TPP,04-07,433,5
GPT,L1-01,TPP,04-08,433,1
GPT,L1-01,TPP,06-07,433,207
GPT,L1-01,TPP,06-08,433,25
GPT,L1-01,TPP,07-08,433,31
GPT,L1-02,DPP,04-06,357,11
GPT,L1-02,DPP,04-07,357,11
GPT,L1-02,DPP,04-08,357,4
GPT,L1-02,DPP,06-07,357,113
GPT,L1-02,DPP,06-08,357,32
GPT,L1-02,DPP,07-08,357,31
GPT,L1-02,KMT,04-06,428,19
GPT,L1-02,KMT,04-07,428,11
GPT,L1-02,KMT,04-08,428,12
GPT,L1-02,KMT,06-07,428,184
GPT,L1-02,KMT,06-08,428,33
GPT,L1-02,KMT,07-08,428,27
GPT,L1-02,TPP,04-06,580,26
GPT,L1-02,TPP,04-07,580,26
GPT,L1-02,TPP,04-08,580,14
GPT,L1-02,TPP,06-07,580,217
GPT,L1-02,TPP,06-08,580,44
GPT,L1-02,TPP,07-08,580,48
GPT,L1-03,DPP,04-06,1188,33
GPT,L1-03,DPP,04-07,1188,52
GPT,L1-03,DPP,04-08,1188,34
GPT,L1-03,DPP,06-07,1188,216
GPT,L1-03,DPP,06-08,1188,138
GPT,L1-03,DPP,07-08,1188,215
GPT,L1-03,KMT,04-06,864,19
GPT,L1-03,KMT,04-07,864,26
GPT,L1-03,KMT,04-08,864,26
GPT,L1-03,KMT,06-07,864,175
GPT,L1-03,KMT,06-08,864,81
GPT,L1-03,KMT,07-08,864,137
GPT,L1-03,TPP,04-06,1206,23
GPT,L1-03,TPP,04-07,1206,41
GPT,L1-03,TPP,04-08,1206,26
GPT,L1-03,TPP,06-07,1206,228
GPT,L1-03,TPP,06-08,1206,118
GPT,L1-03,TPP,07-08,1206,219
GPT,L1-04,DPP,04-06,354,19
GPT,L1-04,DPP,04-07,354,22
GPT,L1-04,DPP,04-08,354,23
GPT,L1-04,DPP,06-07,354,112
GPT,L1-04,DPP,06-08,354,34
GPT,L1-04,DPP,07-08,354,49
GPT,L1-04,KMT,04-06,168,6
GPT,L1-04,KMT,04-07,168,3
GPT,L1-04,KMT,04-08,168,3
GPT,L1-04,KMT,06-07,168,65
GPT,L1-04,KMT,06-08,168,10
GPT,L1-04,KMT,07-08,168,9
GPT,L1-04,TPP,04-06,231,4
GPT,L1-04,TPP,04-07,231,9
GPT,L1-04,TPP,04-08,231,6
GPT,L1-04,TPP,06-07,231,84
GPT,L1-04,TPP,06-08,231,18
GPT,L1-04,TPP,07-08,231,31
GPT,L1-05,DPP,04-06,73,9
GPT,L1-05,DPP,04-07,73,9
GPT,L1-05,DPP,04-08,73,7
GPT,L1-05,DPP,06-07,73,33
GPT,L1-05,DPP,06-08,73,14
GPT,L1-05,DPP,07-08,73,19
GPT,L1-05,KMT,04-06,73,4
GPT,L1-05,KMT,04-07,73,3
GPT,L1-05,KMT,04-08,73,4
GPT,L1-05,KMT,06-07,73,48
GPT,L1-05,KMT,06-08,73,11
GPT,L1-05,KMT,07-08,73,9
GPT,L1-05,TPP,04-06,82,8
GPT,L1-05,TPP,04-07,82,9
GPT,L1-05,TPP,04-08,82,6
GPT,L1-05,TPP,06-07,82,40
GPT,L1-05,TPP,06-08,82,12
GPT,L1-05,TPP,07-08,82,16
GPT,L1-06,DPP,04-06,1715,41
GPT,L1-06,DPP,04-07,1715,41
