Tweet Date,Tweet Content,Favorite Count,Retweet Count,Reply Count
2023/8/16 1:46,"Es un honor asistir a la toma de mando del Presidente del Paraguay. Auguro que el Paraguay alcance las metas del gobierno bajo el mandato de @SantiPenap, anhelando que los dos países se traten como hermanos como dijo @SantiPenap, y se continúe profundizando nuestra amistad. ",3429,370,138
2023/8/15 9:16,"Vine a Paraguay para encontrarme con un buen amigo de Taiwán, el Pdte. @MaritoAbdo. Quiero agradecerle su apoyo incansable a Taiwán en las esferas internacionales. Seguro de que nuestras relaciones bilaterales siempre contará con el respaldo de un gran defensor y amigo, el Pdte. ",3263,363,114
2023/8/14 5:02,I was delighted to see so many friends at our lunch banquet in NYC today. What an amazing crowd! My thanks to @BoardChairAIT for her video greeting and AIT/W Managing Director Ingrid Larson for joining us today.,2841,423,197
2023/8/13 12:14,"Thank you @boardchairait for the warm welcome to NYC, and congratulations to your family on this important occasion of your sister’s wedding.   I look forward to seeing you in SFO!",2036,273,99
2023/8/13 9:35,"Happy to arrive at the #BigApple, icon of liberty, democracy &amp; opportunities. It’s very nice of @Bikhim &amp; #AIT’s Ingrid Larson to greet me with a warm welcome at @JFKairport. Looking forward to seeing friends &amp; attending transit programs in #NewYork. ",4609,586,205
2023/8/12 19:24,"Departing to attend @SantiPenap's inauguration. As special envoy, I will offer congratulations on behalf of @iingwen and the people of Taiwan. Paraguay is an important friend and partner for Taiwan. Working together, I look forward to enhancing our bilateral relationship. ",2847,343,125
2023/8/12 10:00,Departing soon for #Asuncion to attend @SantiPenap’s inauguration &amp; convey to him &amp; the people of #Paraguay the best wishes of @iingwen &amp; #Taiwan. Looking forward to meeting with @MaritoAbdo to express thanks for his staunch support &amp; excited to meet with #US friends in transit.,1291,156,132
2023/8/11 16:05,I would like to express my deepest condolence to those who lost their lives and were displaced by the wildfire in Hawaii. May those in need receive the necessary assistance and are able to rebuild their lives quickly.,2079,205,63
2023/7/20 18:02,昭恵夫人との再会を大変うれしく思います。この機会に台湾社会の安倍元首相に対する感謝の気持ちを昭恵夫人に伝えました。安倍元首相の台日関係への貢献は台湾の人々の心の中に残り続けるでしょう。私は安倍元首相の遺志を継ぎ、昭恵夫人の激励を胸に、これからも台日関係のために努力し続けます。 ,15258,2790,260
2023/7/17 22:03,It was a pleasure meeting President-elect Santiago Peña @SantiPenap last week. I look forward to attend his inauguration next month and to further discuss how our democracies can work together for a mutually beneficial future. #DemocraticAlliance ,1285,131,70
