doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date
_82e32ec8fdc7,_82e32ec8fdc7_u002,"我們遠道而來,背負著台灣民眾黨的目標和民眾的期望,每分每秒都不能浪費!",context,"這趟航程時間很長、還跨過國際換日線,我在飛機上依然把握時間繼續研讀資料,加強和美國友人會面的準備。",#自由台灣 #對話之旅,"[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,24ff1ca781feabb7ee79fdb64fc54b3c,False,02_Ke_X_datasets,2023-04-09 11:42:00
_82e32ec8fdc7,_82e32ec8fdc7_u003,#自由台灣 #對話之旅,context,"我們遠道而來,背負著台灣民眾黨的目標和民眾的期望,每分每秒都不能浪費!",,[],[],False,,0811ab9e0cc1c8ff9668b924c2fea6e9,False,02_Ke_X_datasets,2023-04-09 11:42:00
_2759a61d4cd8,_2759a61d4cd8_u000,"台灣與美國同樣信仰民主自由,享有相同的價值,台灣保有自己的主體性,也期待創造更多的機會與空間。",context,,"民眾黨不求戰、備戰、能戰、達到不畏戰,終極目標是尋求亞太穩定,締造區域和平。",[],[],False,,a6d3b26fd8f1cd057a573993025d1494,False,02_Ke_X_datasets,2023-04-05 15:01:00
_2759a61d4cd8,_2759a61d4cd8_u001,"民眾黨不求戰、備戰、能戰、達到不畏戰,終極目標是尋求亞太穩定,締造區域和平。",context,"台灣與美國同樣信仰民主自由,享有相同的價值,台灣保有自己的主體性,也期待創造更多的機會與空間。",感謝 @NikkeiAsia 的專訪。,"[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,ddbc7b0233d999cefd3f8d76a193c6ca,False,02_Ke_X_datasets,2023-04-05 15:01:00
_2759a61d4cd8,_2759a61d4cd8_u002,感謝 @NikkeiAsia 的專訪。,context,"民眾黨不求戰、備戰、能戰、達到不畏戰,終極目標是尋求亞太穩定,締造區域和平。",,[],[],False,,3dae1ef2eef9a9195a686ccf62d8b75d,False,02_Ke_X_datasets,2023-04-05 15:01:00
_f609d9f86b56,_f609d9f86b56_u000,We can not sacrifice the dignity of our country for diplomatic allies.,context,,,[],[],False,,98f63221d112f5746b6431f97cfafb3f,False,02_Ke_X_datasets,2023-03-26 22:00:00
_fa99657c7620,_fa99657c7620_u000,"06:00 a.m, I departure from #Kuandu in #Taipei by bicycle, get to #Kaohsiung within 21.5 hours is my goal, it's 367 km away. The biggest challenge today is the non-stop strong gales, now I am ready to go to next stop ""Changhua Shengang Baotian Temple"". #OnedayTaipeiKaohsiung",quote,,,[],[],False,,387310d855fc2c9c986c8f835b31d8cc,False,02_Ke_X_datasets,2023-02-25 16:01:00
_a03e4c0d0e1c,_a03e4c0d0e1c_u000,"九天八夜的 #白沙屯媽祖進香 結束了,這是我給自己的挑戰。",context,,"我的腳程也許不快,但只要堅持,再痛苦困難一樣能抵達終點。",[],[],False,,bb72d4bb0ea4c7a55d0aff0277dd4688,False,02_Ke_X_datasets,2023-02-23 13:19:00
_a03e4c0d0e1c,_a03e4c0d0e1c_u001,"我的腳程也許不快,但只要堅持,再痛苦困難一樣能抵達終點。",context,"九天八夜的 #白沙屯媽祖進香 結束了,這是我給自己的挑戰。","人生沒有不能跨越的難關,心存善念,小草就能屹立不搖,永遠不會被擊倒。",[],[],False,,616a0fa5c329d830d1803ac2b5152099,False,02_Ke_X_datasets,2023-02-23 13:19:00
_a03e4c0d0e1c,_a03e4c0d0e1c_u002,"人生沒有不能跨越的難關,心存善念,小草就能屹立不搖,永遠不會被擊倒。",context,"我的腳程也許不快,但只要堅持,再痛苦困難一樣能抵達終點。","感謝一路上,為我加油的每一個你。",[],[],False,,e4ecaaf4a8dfc669db0aee35fa4cfeae,False,02_Ke_X_datasets,2023-02-23 13:19:00
_a03e4c0d0e1c,_a03e4c0d0e1c_u003,"感謝一路上,為我加油的每一個你。",context,"人生沒有不能跨越的難關,心存善念,小草就能屹立不搖,永遠不會被擊倒。","獻給心中有目標、有夢想,勇往直前的你。",[],[],False,,5b0d2d321d9dfc8203786bdfeb257054,False,02_Ke_X_datasets,2023-02-23 13:19:00
_a03e4c0d0e1c,_a03e4c0d0e1c_u004,"獻給心中有目標、有夢想,勇往直前的你。",context,"感謝一路上,為我加油的每一個你。",,[],[],False,,f8a5561294d44de7bb6ddc73dd7949ce,False,02_Ke_X_datasets,2023-02-23 13:19:00
_2d92f4ecffde,_2d92f4ecffde_u000,The 7.8 earthquake in Türkiye &amp;,context,,"Syria region shocked the world, casualties still going up. Taiwan also has high frequency of earthquakes, we feel the fear and pain of those who live in disaster areas. May the injury be recovered, pray for the living, the victims rest in peace.",[],[],False,,43ed10d66e2ea723a7ba551c71dde57d,False,02_Ke_X_datasets,2023-02-07 11:31:00
_2d92f4ecffde,_2d92f4ecffde_u001,"Syria region shocked the world, casualties still going up. Taiwan also has high frequency of earthquakes, we feel the fear and pain of those who live in disaster areas. May the injury be recovered, pray for the living, the victims rest in peace.",context,The 7.8 earthquake in Türkiye &amp;,,[],[],False,,cc0d6398fb9c568f8de7bca91b1f1be1,False,02_Ke_X_datasets,2023-02-07 11:31:00
_8c773b448b1b,_8c773b448b1b_u000,It was great welcoming CDP's delegation for their first visit to TPP yesterday. We shared ideas from lowering the voting age referendum and digital governance to Taiwan's bid for CPTPP membership. Here's to growing our cooperation for years to come. #台日友好 #立憲民主黨,quote,,,[],[],False,,b2b4cd71a39354b01e6ba20025b9d0b9,False,02_Ke_X_datasets,2023-01-17 09:07:00
