period,candidate,L1,share_smooth,period_end
2023-02-13/2023-02-19,柯文哲,L1-01,0.011661807580174927,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-03,0.18243035309361838,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-06,0.20616294136702298,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-07,0.20790816326530612,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-01,0.2061830400176265,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-03,0.179336390426616,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-06,0.40344404968465114,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-07,0.04285714285714286,2023-02-13/2023-02-19
2023-02-20/2023-02-26,侯友宜,L1-01,0.1020408163265306,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-03,0.0,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-06,0.0,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-07,0.061224489795918366,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-01,0.008746355685131196,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-03,0.20357952704891477,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-06,0.22779802397149337,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-07,0.18363702623906705,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-01,0.060103490017560914,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-03,0.19742383168806368,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-06,0.3736083405793395,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-07,0.0472610096670247,2023-02-20/2023-02-26
2023-02-27/2023-03-05,侯友宜,L1-01,0.0,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-03,0.017857142857142856,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-06,0.19132653061224492,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-07,0.2602040816326531,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-01,0.03265306122448979,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-03,0.24655299349176896,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-06,0.2890574844656477,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L1-07,0.1288475130311865,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-01,0.10131932472237015,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-03,0.11735822148408236,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-06,0.34854543321087833,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L1-07,0.09065520945220194,2023-02-27/2023-03-05
2023-03-06/2023-03-12,侯友宜,L1-01,0.0,2023-03-06/2023-03-12
2023-03-06/2023-03-12,侯友宜,L1-03,0.00510204081632653,2023-03-06/2023-03-12
2023-03-06/2023-03-12,侯友宜,L1-06,0.0510204081632653,2023-03-06/2023-03-12
2023-03-06/2023-03-12,侯友宜,L1-07,0.0,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-01,0.005442176870748299,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-03,0.10183467326324468,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-06,0.2434961863533292,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-07,0.07606679035250463,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-01,0.0711347893194545,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-03,0.17062310594936458,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-06,0.3838758092318327,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-07,0.22030308690982112,2023-03-06/2023-03-12
2023-03-13/2023-03-19,侯友宜,L1-01,0.0,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-03,0.030612244897959183,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-06,0.17201166180758018,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-07,0.029154518950437313,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-01,0.08163265306122448,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-03,0.07066856046447881,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-06,0.3073758441105379,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-07,0.11836734693877553,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-01,0.07000282326369282,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-03,0.34158011218792045,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-06,0.32927285915307214,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-07,0.14046053768768943,2023-03-13/2023-03-19
2023-03-20/2023-03-26,侯友宜,L1-01,0.08163265306122448,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-03,0.061224489795918366,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-06,0.11370262390670553,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-07,0.09329446064139942,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-01,0.1370262390670554,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-03,0.10075751912486605,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-06,0.18567939996511423,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-07,0.034499514091350825,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-01,0.07310164325470447,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-03,0.24274278975659527,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-06,0.3118152406892096,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-07,0.15624464630147547,2023-03-20/2023-03-26
2023-03-27/2023-04-02,侯友宜,L1-01,0.16326530612244897,2023-03-27/2023-04-02
2023-03-27/2023-04-02,侯友宜,L1-03,0.08163265306122448,2023-03-27/2023-04-02
2023-03-27/2023-04-02,侯友宜,L1-06,0.05442176870748299,2023-03-27/2023-04-02
2023-03-27/2023-04-02,侯友宜,L1-07,0.027210884353741496,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-01,0.01273366489452924,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-03,0.21373978162693646,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-06,0.16071857314354313,2023-03-27/2023-04-02
2023-03-27/2023-04-02,柯文哲,L1-07,0.059591455629871,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-01,0.028552280052880293,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-03,0.2714360202955641,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-06,0.3178027014142105,2023-03-27/2023-04-02
2023-03-27/2023-04-02,赖清德,L1-07,0.2299833961492173,2023-03-27/2023-04-02
2023-04-03/2023-04-09,侯友宜,L1-01,0.04081632653061224,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-03,0.0,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-06,0.04081632653061224,2023-04-03/2023-04-09
2023-04-03/2023-04-09,侯友宜,L1-07,0.11564625850340135,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-01,0.004801920768307323,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-03,0.32214653303181734,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-06,0.20981322761662802,2023-04-03/2023-04-09
2023-04-03/2023-04-09,柯文哲,L1-07,0.09206659407949225,2023-04-03/2023-04-09
2023-04-03/2023-04-09,赖清德,L1-01,0.010712707095608082,2023-04-03/2023-04-09
2023-04-03/2023-04-09,赖清德,L1-03,0.15200178320904872,2023-04-03/2023-04-09
2023-04-03/2023-04-09,赖清德,L1-06,0.2945100372888879,2023-04-03/2023-04-09
2023-04-03/2023-04-09,赖清德,L1-07,0.15431963255701445,2023-04-03/2023-04-09
2023-04-10/2023-04-16,侯友宜,L1-01,0.0,2023-04-10/2023-04-16
2023-04-10/2023-04-16,侯友宜,L1-03,0.027210884353741496,2023-04-10/2023-04-16
2023-04-10/2023-04-16,侯友宜,L1-06,0.0,2023-04-10/2023-04-16
2023-04-10/2023-04-16,侯友宜,L1-07,0.05442176870748299,2023-04-10/2023-04-16
2023-04-10/2023-04-16,柯文哲,L1-01,0.00746640119462419,2023-04-10/2023-04-16
2023-04-10/2023-04-16,柯文哲,L1-03,0.1976200122703648,2023-04-10/2023-04-16
2023-04-10/2023-04-16,柯文哲,L1-06,0.2317864184811758,2023-04-10/2023-04-16
2023-04-10/2023-04-16,柯文哲,L1-07,0.1781276889655465,2023-04-10/2023-04-16
2023-04-10/2023-04-16,赖清德,L1-01,0.07943920159512653,2023-04-10/2023-04-16
